text,category,risk_level
सास फेर्न गाह्रो हुनु भइरहेको छ,maternal_postnatal,high
यदि ज्वरो धेरै आउनु भयो भने के गर्ने?,maternal_postnatal,high
बच्चा लगातार रोइरहनु भएपछि के गर्नु पर्छ?,newborn,high
यदि घाउ अलि दुख्नु भयो भने के गर्ने?,maternal_postnatal,low
दूध कम आउनु भए अस्पताल जानु पर्छ?,maternal_postnatal,medium
मलाई पिसाब गर्दा दुख्नु छ,maternal_postnatal,medium
म घाउबाट पहेंलो पानी आउनु भएको महसुस गर्छु,maternal_postnatal,high
मुटु छिटो धड्किनु भए अस्पताल जानु पर्छ?,maternal_postnatal,medium
बच्चाले छाला पहेंलो देखिनु गरेको छ,newborn,medium
बच्चा उठाउन खोज्दा नउठ्नु भएपछि के गर्नु पर्छ?,newborn,high
बच्चाले बारम्बार रुनु गरेको छ,newborn,medium
बच्चा दूध खाँदा निदाउनु भएपछि के गर्नु पर्छ?,newborn,medium
बच्चाको सास लिन गाह्रो हुनु सामान्य हो?,newborn,high
बच्चाले निन्द्रा धेरै हुनु गरेको छ,newborn,normal
म घाउ अलि दुख्नु भएको महसुस गर्छु,maternal_postnatal,low
बच्चाले हातखुट्टा चलाउनु गरेको छ,newborn,normal
बच्चाको पेट फुल्नु देखियो,newborn,medium
बच्चाले छाला पहेंलो देखिनु गरेको छ,newborn,medium
के टाँका दुख्नु सामान्य हो?,maternal_postnatal,medium
अत्यधिक कमजोरी भइरहेको छ,maternal_postnatal,high
म हल्का पेट दुखाइ भएको महसुस गर्छु,maternal_postnatal,low
टाँका दुख्नु भए अस्पताल जानु पर्छ?,maternal_postnatal,medium
खुट्टा दुख्नु भए अस्पताल जानु पर्छ?,maternal_postnatal,low
बच्चाले एकदमै ढिलो चल्नु गरेको छ,newborn,high
बच्चाले दूध कम खानु गरेको छ,newborn,medium
बच्चा हल्का ज्वरो जस्तो लाग्नु भएपछि के गर्नु पर्छ?,newborn,medium
बच्चाको ज्वरो धेरै आउनु भए के गर्ने?,newborn,high
बच्चा दूध कम खानु भयो भने ठीक छ?,newborn,medium
स्तन भारी हुनु भयो भने के गर्ने?,maternal_postnatal,low
बच्चामा दूध खाँदा निदाउनु देखियो,newborn,medium
बच्चाको दिसा पहेंलो हुनु देखियो,newborn,normal
यदि बच्चा एकदमै ढिलो चल्नु भयो भने के गर्नु पर्छ?,newborn,high
कसरी ज्वरो धेरै आउनु कम गर्ने?,maternal_postnatal,high
कसरी धेरै रगत बग्नु कम गर्ने?,maternal_postnatal,high
बच्चा आँखा पाक्नु भयो भने ठीक छ?,newborn,medium
बच्चा छाला पहेंलो देखिनु भयो भने ठीक छ?,newborn,medium
मलाई दूध चुहिनु छ,maternal_postnatal,low
म स्तन रातो हुनु भएको महसुस गर्छु,maternal_postnatal,medium
यदि बच्चा छाला पहेंलो देखिनु भयो भने के गर्नु पर्छ?,newborn,medium
बच्चाको आँखा पाक्नु भए के गर्ने?,newborn,medium
बच्चामा दिसा हरियो हुनु देखियो,newborn,medium
बच्चाको हल्का रुनु भए के गर्ने?,newborn,normal
म छाती दुख्नु भएको महसुस गर्छु,maternal_postnatal,high
के आँखा धमिलो हुनु सामान्य हो?,maternal_postnatal,medium
स्तन रातो हुनु भइरहेको छ,maternal_postnatal,medium
म घाउबाट दुर्गन्ध आउनु भएको महसुस गर्छु,maternal_postnatal,medium
छाती दुख्नु भइरहेको छ,maternal_postnatal,high
बच्चाले पेट फुल्नु गरेको छ,newborn,medium
स्तन सुन्निनु सामान्य हो?,maternal_postnatal,medium
घाउबाट पहेंलो पानी आउनु सामान्य हो?,maternal_postnatal,high
रिङ्गटा लाग्नु भयो भने के गर्ने?,maternal_postnatal,medium
यदि बच्चा हातखुट्टा चलाउनु भयो भने के गर्नु पर्छ?,newborn,normal
म पिसाब पोल्नु भएको महसुस गर्छु,maternal_postnatal,medium
बच्चाको लगातार रोइरहनु सामान्य हो?,newborn,high
कसरी खुट्टा धेरै सुन्निनु कम गर्ने?,maternal_postnatal,medium
के घाउबाट दुर्गन्ध आउनु सामान्य हो?,maternal_postnatal,medium
के दूध चुहिनु सामान्य हो?,maternal_postnatal,low
घाउ अलि दुख्नु भए अस्पताल जानु पर्छ?,maternal_postnatal,low
बच्चाको नाक बन्द हुनु भए के गर्ने?,newborn,medium
बच्चाले छाला रातो हुनु गरेको छ,newborn,medium
बच्चाको हल्का रुनु देखियो,newborn,normal
बच्चा दिसा पहेंलो हुनु भयो भने ठीक छ?,newborn,normal
म टाँका दुख्नु भएको महसुस गर्छु,maternal_postnatal,medium
बच्चाले लगातार रोइरहनु गरेको छ,newborn,high
बच्चालाई दिसा हरियो हुनु भयो भने के गर्ने?,newborn,medium
यदि अत्यधिक कमजोरी भयो भने के गर्ने?,maternal_postnatal,high
खुट्टा दुख्नु भयो भने के गर्ने?,maternal_postnatal,low
यदि बच्चा झट्का जस्तो हुनु भयो भने के गर्नु पर्छ?,newborn,high
बच्चाको छाला पहेंलो देखिनु सामान्य हो?,newborn,medium
कसरी सास फेर्न गाह्रो हुनु कम गर्ने?,maternal_postnatal,high
बच्चामा धेरै चिसो हुनु देखियो,newborn,high
के ढाड दुखाइ सामान्य हो?,maternal_postnatal,low
म स्तन भारी हुनु भएको महसुस गर्छु,maternal_postnatal,low
बच्चाले दूध नै नखानु गरेको छ,newborn,high
बच्चाले शरीर निलो देखिनु गरेको छ,newborn,high
के खुट्टा दुख्नु सामान्य हो?,maternal_postnatal,low
यदि बच्चा दूध खाँदा निदाउनु भयो भने के गर्नु पर्छ?,newborn,medium
के पसिना आउनु सामान्य हो?,maternal_postnatal,low
म ढाड दुखाइ भएको महसुस गर्छु,maternal_postnatal,low
के स्तन सुन्निनु सामान्य हो?,maternal_postnatal,medium
निद्रा नलाग्नु सामान्य हो?,maternal_postnatal,low
मलाई सास फेर्न गाह्रो हुनु छ,maternal_postnatal,high
मलाई कब्जियत छ,maternal_postnatal,low
म धेरै पसिना आउनु भएको महसुस गर्छु,maternal_postnatal,medium
कसरी दूध कम आउनु कम गर्ने?,maternal_postnatal,medium
सधैं रोइरहनु सामान्य हो?,maternal_postnatal,high
कसरी ज्वरो आउनु कम गर्ने?,maternal_postnatal,medium
थकान भए अस्पताल जानु पर्छ?,maternal_postnatal,low
म शरीर दुखाइ भएको महसुस गर्छु,maternal_postnatal,low
शरीर दुखाइ भयो भने के गर्ने?,maternal_postnatal,low
म स्तन सुन्निनु भएको महसुस गर्छु,maternal_postnatal,medium
के रिङ्गटा लाग्नु सामान्य हो?,maternal_postnatal,medium
धेरै पसिना आउनु सामान्य हो?,maternal_postnatal,medium
बच्चाको आँखा पाक्नु देखियो,newborn,medium
बच्चाको बारम्बार रुनु देखियो,newborn,medium
बच्चामा लगातार रोइरहनु देखियो,newborn,high
यदि टाँका दुख्नु भयो भने के गर्ने?,maternal_postnatal,medium
बच्चाको लगातार रोइरहनु देखियो,newborn,high
यदि ग्यास हुनु भयो भने के गर्ने?,maternal_postnatal,low
कसरी हल्का पेट दुखाइ कम गर्ने?,maternal_postnatal,low
कसरी धेरै पसिना आउनु कम गर्ने?,maternal_postnatal,medium
बच्चा दूध नै नखानु भयो भने ठीक छ?,newborn,high
बच्चामा धेरै सुत्नु देखियो,newborn,normal
बच्चाले सास छिटो चल्नु गरेको छ,newborn,high
के स्तन रातो हुनु सामान्य हो?,maternal_postnatal,medium
यदि बच्चा पेट फुल्नु भयो भने के गर्नु पर्छ?,newborn,medium
बच्चाले सास लिन गाह्रो हुनु गरेको छ,newborn,high
यदि ढाड दुखाइ भयो भने के गर्ने?,maternal_postnatal,low
बच्चाको धेरै चिसो हुनु भए के गर्ने?,newborn,high
बच्चालाई सास छिटो चल्नु भयो भने के गर्ने?,newborn,high
म पिसाब गर्दा दुख्नु भएको महसुस गर्छु,maternal_postnatal,medium
बच्चाले पेट भरिएको देखिनु गरेको छ,newborn,normal
सास फेर्न गाह्रो हुनु भए अस्पताल जानु पर्छ?,maternal_postnatal,high
बच्चालाई धेरै सुत्नु भयो भने के गर्ने?,newborn,normal
बच्चाले पेट भरिएको देखिनु गरेको छ,newborn,normal
खुट्टा धेरै सुन्निनु सामान्य हो?,maternal_postnatal,medium
बच्चाले बारम्बार रुनु गरेको छ,newborn,medium
टाँका दुख्नु भयो भने के गर्ने?,maternal_postnatal,medium
मलाई कमजोरी छ,maternal_postnatal,low
बच्चा सास लिन गाह्रो हुनु भएपछि के गर्नु पर्छ?,newborn,high
म ग्यास हुनु भएको महसुस गर्छु,maternal_postnatal,low
बच्चाको हातखुट्टा चलाउनु देखियो,newborn,normal
बच्चाले छाला रातो हुनु गरेको छ,newborn,medium
हल्का पेट दुखाइ सामान्य हो?,maternal_postnatal,low
यदि शरीर दुखाइ भयो भने के गर्ने?,maternal_postnatal,low
पिसाब गर्दा दुख्नु सामान्य हो?,maternal_postnatal,medium
म खुट्टा दुख्नु भएको महसुस गर्छु,maternal_postnatal,low
शरीर दुखाइ भइरहेको छ,maternal_postnatal,low
यदि बच्चा सास छिटो चल्नु भयो भने के गर्नु पर्छ?,newborn,high
यदि घाउबाट दुर्गन्ध आउनु भयो भने के गर्ने?,maternal_postnatal,medium
बच्चा दिसा हरियो हुनु भएपछि के गर्नु पर्छ?,newborn,medium
बच्चालाई हल्का रुनु भयो भने के गर्ने?,newborn,normal
ज्वरो धेरै आउनु भइरहेको छ,maternal_postnatal,high
बच्चालाई निन्द्रा धेरै हुनु भयो भने के गर्ने?,newborn,normal
बच्चामा पेट भरिएको देखिनु देखियो,newborn,normal
बच्चालाई आँखा पाक्नु भयो भने के गर्ने?,newborn,medium
रिङ्गटा लाग्नु भए अस्पताल जानु पर्छ?,maternal_postnatal,medium
म पसिना आउनु भएको महसुस गर्छु,maternal_postnatal,low
बच्चामा हल्का ज्वरो जस्तो लाग्नु देखियो,newborn,medium
खुट्टा दुख्नु सामान्य हो?,maternal_postnatal,low
बच्चाको झट्का जस्तो हुनु भए के गर्ने?,newborn,high
यदि बच्चा बारम्बार रुनु भयो भने के गर्नु पर्छ?,newborn,medium
निद्रा नलाग्नु भयो भने के गर्ने?,maternal_postnatal,low
यदि थकान भयो भने के गर्ने?,maternal_postnatal,low
ज्वरो आउनु भए अस्पताल जानु पर्छ?,maternal_postnatal,medium
मलाई ढाड दुखाइ छ,maternal_postnatal,low
बच्चाले आँखा पाक्नु गरेको छ,newborn,medium
बच्चा हल्का रुनु भएपछि के गर्नु पर्छ?,newborn,normal
के दूध कम आउनु सामान्य हो?,maternal_postnatal,medium
टाँका दुख्नु भइरहेको छ,maternal_postnatal,medium
के हल्का पेट दुखाइ सामान्य हो?,maternal_postnatal,low
मलाई उठ्नै नसक्नु छ,maternal_postnatal,high
के ज्वरो धेरै आउनु सामान्य हो?,maternal_postnatal,high
म मुटु छिटो धड्किनु भएको महसुस गर्छु,maternal_postnatal,medium
बच्चामा नाक बन्द हुनु देखियो,newborn,medium
बच्चाको पेट फुल्नु सामान्य हो?,newborn,medium
बच्चालाई उठाउन खोज्दा नउठ्नु भयो भने के गर्ने?,newborn,high
म धेरै रगत बग्नु भएको महसुस गर्छु,maternal_postnatal,high
पिसाब गर्दा दुख्नु भए अस्पताल जानु पर्छ?,maternal_postnatal,medium
म ज्वरो आउनु भएको महसुस गर्छु,maternal_postnatal,medium
बच्चाको शरीर निलो देखिनु सामान्य हो?,newborn,high
बच्चामा हातखुट्टा चलाउनु देखियो,newborn,normal
बच्चाको हल्का ज्वरो जस्तो लाग्नु देखियो,newborn,medium
कसरी स्तन भारी हुनु कम गर्ने?,maternal_postnatal,low
बच्चा दिसा पहेंलो हुनु भएपछि के गर्नु पर्छ?,newborn,normal
कमजोरी भयो भने के गर्ने?,maternal_postnatal,low
बच्चाले धेरै चिसो हुनु गरेको छ,newborn,high
बच्चामा ज्वरो धेरै आउनु देखियो,newborn,high
म भोक नलाग्नु भएको महसुस गर्छु,maternal_postnatal,low
के पिसाब गर्दा दुख्नु सामान्य हो?,maternal_postnatal,medium
के शरीर दुखाइ सामान्य हो?,maternal_postnatal,low
बच्चालाई छाला रातो हुनु भयो भने के गर्ने?,newborn,medium
बच्चाले दूध कम खानु गरेको छ,newborn,medium
बच्चा पेट फुल्नु भयो भने ठीक छ?,newborn,medium
बच्चाको दूध खाएर सुत्नु देखियो,newborn,normal
ग्यास हुनु भयो भने के गर्ने?,maternal_postnatal,low
कसरी उठ्नै नसक्नु कम गर्ने?,maternal_postnatal,high
बच्चा ज्वरो धेरै आउनु भयो भने ठीक छ?,newborn,high
अत्यधिक कमजोरी भए अस्पताल जानु पर्छ?,maternal_postnatal,high
के धेरै पसिना आउनु सामान्य हो?,maternal_postnatal,medium
मलाई थकान छ,maternal_postnatal,low
घाउबाट पहेंलो पानी आउनु भइरहेको छ,maternal_postnatal,high
बच्चाले दिसा पहेंलो हुनु गरेको छ,newborn,normal
बेहोस जस्तो हुनु भए अस्पताल जानु पर्छ?,maternal_postnatal,high
मलाई स्तन सुन्निनु छ,maternal_postnatal,medium
बच्चाको उठाउन खोज्दा नउठ्नु सामान्य हो?,newborn,high
बच्चा दिसा हरियो हुनु भयो भने ठीक छ?,newborn,medium
बच्चाको झट्का जस्तो हुनु सामान्य हो?,newborn,high
बच्चा छाला रातो हुनु भयो भने ठीक छ?,newborn,medium
मुटु छिटो धड्किनु भइरहेको छ,maternal_postnatal,medium
बच्चाको ज्वरो धेरै आउनु देखियो,newborn,high
बच्चाले ज्वरो धेरै आउनु गरेको छ,newborn,high
पिसाब पोल्नु भइरहेको छ,maternal_postnatal,medium
बच्चाको हल्का ज्वरो जस्तो लाग्नु सामान्य हो?,newborn,medium
यदि बच्चा छाला रातो हुनु भयो भने के गर्नु पर्छ?,newborn,medium
मलाई पसिना आउनु छ,maternal_postnatal,low
बच्चा हल्का ज्वरो जस्तो लाग्नु भयो भने ठीक छ?,newborn,medium
यदि बच्चा शरीर निलो देखिनु भयो भने के गर्नु पर्छ?,newborn,high
खुट्टा धेरै सुन्निनु भइरहेको छ,maternal_postnatal,medium
टाउको दुखाइ भए अस्पताल जानु पर्छ?,maternal_postnatal,low
के छाती दुख्नु सामान्य हो?,maternal_postnatal,high
बच्चा पेट फुल्नु भएपछि के गर्नु पर्छ?,newborn,medium
के ज्वरो आउनु सामान्य हो?,maternal_postnatal,medium
कसरी बेहोस जस्तो हुनु कम गर्ने?,maternal_postnatal,high
पिसाब पोल्नु सामान्य हो?,maternal_postnatal,medium
बच्चाको दिसा पहेंलो हुनु सामान्य हो?,newborn,normal
बच्चाको निन्द्रा धेरै हुनु भए के गर्ने?,newborn,normal
बच्चामा आँखा पाक्नु देखियो,newborn,medium
अत्यधिक कमजोरी भयो भने के गर्ने?,maternal_postnatal,high
छाती दुख्नु सामान्य हो?,maternal_postnatal,high
मलाई खुट्टा दुख्नु छ,maternal_postnatal,low
स्तन भारी हुनु भइरहेको छ,maternal_postnatal,low
बच्चाले हल्का रुनु गरेको छ,newborn,normal
कसरी कब्जियत कम गर्ने?,maternal_postnatal,low
बच्चालाई पेट फुल्नु भयो भने के गर्ने?,newborn,medium
कसरी सधैं रोइरहनु कम गर्ने?,maternal_postnatal,high
के पेट धेरै दुख्नु सामान्य हो?,maternal_postnatal,medium
बच्चाको नाक बन्द हुनु देखियो,newborn,medium
मलाई घाउ अलि दुख्नु छ,maternal_postnatal,low
बच्चा उठाउन खोज्दा नउठ्नु भयो भने ठीक छ?,newborn,high
टाउको दुखाइ सामान्य हो?,maternal_postnatal,low
म निद्रा नलाग्नु भएको महसुस गर्छु,maternal_postnatal,low
के स्तन भारी हुनु सामान्य हो?,maternal_postnatal,low
बेहोस जस्तो हुनु भइरहेको छ,maternal_postnatal,high
बच्चाको दूध खाँदा निदाउनु सामान्य हो?,newborn,medium
स्तन भारी हुनु भए अस्पताल जानु पर्छ?,maternal_postnatal,low
